,FEATURE,COEFF,P_VALUE,SUM,VIF,iteration
0,ISWEEKEND,82.69699148562168,0.08614,269.0,1.4125757998944175,1
1,AMS_SEARCH_SPEND,0.009026249506640858,0.01249,3841660.4899999998,1.7910439450923163,1
2,AMS_SEARCH_SP_SPEND,0.008089252826543531,0.12693,3346208.4000000004,2.7568721018846136,1
3,JBP_AMAZON,0.007369064464482052,0.00166,5531024.42,1.4888029899260458,1
4,JBP_BIG_BASKET,0.006026378333436745,0.26642,9374485.2588,7.537841187371506,1
5,PLA_SPENDS,0.027332954688946604,0.01074,941040.14,1.6982925732538228,1
6,JBP_FLIPKART_TRUE,0.01963666431776571,0.0,15716552.741200002,8.117400836109114,1
7,AMS_DISPLAY_SPEND_LAG_3,0.003368149941075489,0.58997,510683.50620000006,1.0414741357447672,1
8,DISPLAY_SPEND_LAG_21,-0.002957464863193086,0.39209,1850643.4155,1.3957976473972444,1
9,YOUTUBE_SPEND_LAG_5,0.0005287631217228741,0.12466,36573755.040699996,1.6983083594608372,1
10,PCA_SPENDS_LAG_15,0.11098846365674286,0.04191,92146.25000000001,1.2626445521821126,1
11,FACEBOOK/INSTAGRAM_SPEND,3.706463832514894e-05,0.58085,19475783.282299995,1.0322311197684801,1
12,TV_spend_LAG_7,3.3153392133950195e-05,0.28655,467730421.8125,1.828350268909829,1
13,AMAZON_WTD_DISCOUNT%,3874.308103000829,0.0,132.05913018112943,11.619816157600651,1
14,FLIPKART_WTD_DISCOUNT%,1944.592890715482,0.0,173.84721388171272,9.136259000780935,1
15,FLIPKART PAY DAY SALES,327.24983697667363,0.0,88.0,1.4506604655835567,1
16,FLIPKART BIG BILLION DAYS,453.76104510246404,0.00522,37.0,3.6429207178191088,1
17,AMAZON_GREAT INDIA FESTIVAL,275.8679590075422,0.06654,43.0,3.3763530149844936,1
18,Amazon SVD,231.58573430021045,0.00019,217.0,1.8859674379223146,1
19,FLIPKART BIG DIWALI SALE,-116.88785600298826,0.30253,29.0,1.1756778819917237,1
20,NET_SENTIMENT_MENTIONS,173.8196646509284,0.01138,600.2330081182888,4.906483092724304,1
