mention_brand,engagement_brand
Arata Zero,Arata
Axe India,Axe
Bajas Almonds,Bajaj Almond
Colorbar,Colour bar
Dr. Sheth's,Dr Sheth's
Emami 7 oils - India,Emami 7 in 1
Faces,Faces Canada
Fair and Handsome,Fair & handsome
Forrest Essentials,Forest Essentials
Garnier India - DQ,Garnier
Gillette India,Gillette
Godrej professional,Godrej 
Head & Shoulders,Head & Shoulder
Himalaya - DQ,Himalaya
Juicy Chemistry,Juicy Chemistry
Just Herbs India,Just Herbs
Kama Ayurveda,Kama Ayurveda
Kesh King,Kesh King
Khadi Natural,Khadi
Knorr India,Knorr
L'Oreal India,L'Oréal
Lakme,Lakme
Love Beauty and Planet,Love beauty & planet
Maggi India,Maggi
Mama Earth India,Mama Earth
Max Care,MaxCare
Maybelline,Maybelline
Neuherbs,Neuherbs
Philips,Phillips
Plum Goodness,Plum
Quaker,Quaker oats
Society tea - DQ,Society Tea
St. Botanica,StBotanica
Streax India,Streax
Tata Foods,Tata
The Moms Co.,The Moms Co
TRESemme  India,TRESemmé
Urban Botanics,UrbanBotanics
Veeba India,Veeba
Wow Cosmetics India,Wow
Yippee - DQ,Yippee Noodles
Zandu Health & Immunity,Zandu
